date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:44:37	555/555	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:f11f3dec9a19ceb65c2e35f99958529e%22	https://paversongames.com/robots.txt		(from )
14:44:37	345125/345125	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:9dda496ba8c692807763a6b646cb7fda%22	https://paversongames.com/	F:/MLNWEB/BroadGame/paversongames.com/index.html	(from )
14:44:38	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Nov%202024%2007:44:36%20GMT	http://paversongames.com/cdn/fonts/montserrat/montserrat_n5.e72d00d31ae5399d260a80ec70322c62c1819762.woff2?h1=cGF2ZXJzb25nYW1lcy5hY2NvdW50Lm15c2hvcGlmeS5jb20&h2=cGF2ZXJzb25nYW1lcy5jb20&hmac=5e37da4608212e926206d19e23f03e9f681947bf44cf826510a2cab7e93bbd73	F:/MLNWEB/BroadGame/paversongames.com/cdn/fonts/montserrat/montserrat_n5.e72d00d31ae5399d260a80ec70322c62c1819762.06beb.delayed	(from https://paversongames.com/)
14:44:38	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Nov%202024%2007:44:37%20GMT	http://paversongames.com/cdn/fonts/montserrat/montserrat_n7.c496e9cf2031deec4c4bca338faa81971c8631d4.woff2?h1=cGF2ZXJzb25nYW1lcy5hY2NvdW50Lm15c2hvcGlmeS5jb20&h2=cGF2ZXJzb25nYW1lcy5jb20&hmac=42618fd3655a3ceeb24a03eee56dee98a377f31128a898bb0b176533c42cb2f7	F:/MLNWEB/BroadGame/paversongames.com/cdn/fonts/montserrat/montserrat_n7.c496e9cf2031deec4c4bca338faa81971c8631d494eb.woff2	(from https://paversongames.com/)
14:44:38	22728/22728	---M--	200	added ('OK')	font/woff2	date:Thu,%2010%20Oct%202024%2020:15:14%20GMT	https://paversongames.com/cdn/fonts/montserrat/montserrat_n5.e72d00d31ae5399d260a80ec70322c62c1819762.woff2?h1=cGF2ZXJzb25nYW1lcy5hY2NvdW50Lm15c2hvcGlmeS5jb20&h2=cGF2ZXJzb25nYW1lcy5jb20&hmac=5e37da4608212e926206d19e23f03e9f681947bf44cf826510a2cab7e93bbd73	F:/MLNWEB/BroadGame/paversongames.com/cdn/fonts/montserrat/montserrat_n5.e72d00d31ae5399d260a80ec70322c62c18197626beb.woff2	(from https://paversongames.com/)
14:44:38	22736/22736	---M--	200	added ('OK')	font/woff2	date:Wed,%2016%20Oct%202024%2022:15:58%20GMT	https://paversongames.com/cdn/fonts/montserrat/montserrat_n7.c496e9cf2031deec4c4bca338faa81971c8631d4.woff2?h1=cGF2ZXJzb25nYW1lcy5hY2NvdW50Lm15c2hvcGlmeS5jb20&h2=cGF2ZXJzb25nYW1lcy5jb20&hmac=42618fd3655a3ceeb24a03eee56dee98a377f31128a898bb0b176533c42cb2f7	F:/MLNWEB/BroadGame/paversongames.com/cdn/fonts/montserrat/montserrat_n7.c496e9cf2031deec4c4bca338faa81971c8631d494eb.woff2	(from https://paversongames.com/)
14:44:39	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Nov%202024%2007:44:37%20GMT	http://paversongames.com/cdn/fonts/montserrat/montserrat_i5.3a4750a300f30824a43384268712b76e0a04be8c.woff2?h1=cGF2ZXJzb25nYW1lcy5hY2NvdW50Lm15c2hvcGlmeS5jb20&h2=cGF2ZXJzb25nYW1lcy5jb20&hmac=9467b0a17af2148443437467cadf4655f5f59aefde0a5be535ac37125a66b5c3	F:/MLNWEB/BroadGame/paversongames.com/cdn/fonts/montserrat/montserrat_i5.3a4750a300f30824a43384268712b76e0a04be8caeb6.woff2	(from https://paversongames.com/)
14:44:40	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Nov%202024%2007:44:38%20GMT	http://paversongames.com/cdn/fonts/montserrat/montserrat_i7.83866c3eec90071fa974c17980ffb42977f9e667.woff2?h1=cGF2ZXJzb25nYW1lcy5hY2NvdW50Lm15c2hvcGlmeS5jb20&h2=cGF2ZXJzb25nYW1lcy5jb20&hmac=3a40b768779778c2ac2aa1f9486d235e53eaccb9ea6e1fa71453c0f2c9d81200	F:/MLNWEB/BroadGame/paversongames.com/cdn/fonts/montserrat/montserrat_i7.83866c3eec90071fa974c17980ffb42977f9e667ad5c.woff2	(from https://paversongames.com/)
14:44:40	23316/23316	---M--	200	added ('OK')	font/woff2	date:Thu,%2010%20Oct%202024%2018:43:37%20GMT	https://paversongames.com/cdn/fonts/montserrat/montserrat_i5.3a4750a300f30824a43384268712b76e0a04be8c.woff2?h1=cGF2ZXJzb25nYW1lcy5hY2NvdW50Lm15c2hvcGlmeS5jb20&h2=cGF2ZXJzb25nYW1lcy5jb20&hmac=9467b0a17af2148443437467cadf4655f5f59aefde0a5be535ac37125a66b5c3	F:/MLNWEB/BroadGame/paversongames.com/cdn/fonts/montserrat/montserrat_i5.3a4750a300f30824a43384268712b76e0a04be8caeb6.woff2	(from https://paversongames.com/)
14:44:41	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Nov%202024%2007:44:39%20GMT	http://paversongames.com/cdn/fonts/crimson_text/crimsontext_n4.b27fe5dd7d0f6abe43305743449a9d7cb1ed9e69.woff2?h1=cGF2ZXJzb25nYW1lcy5hY2NvdW50Lm15c2hvcGlmeS5jb20&h2=cGF2ZXJzb25nYW1lcy5jb20&hmac=64786b31cd1e13fc375f249941d46735d61d56f39587b52ae5f48ccb9dccaad3	F:/MLNWEB/BroadGame/paversongames.com/cdn/fonts/crimson_text/crimsontext_n4.b27fe5dd7d0f6abe43305743449a9d7cb1ed9e6958e4.woff2	(from https://paversongames.com/)
14:44:41	23560/23560	---M--	200	added ('OK')	font/woff2	date:Sat,%2012%20Oct%202024%2022:32:32%20GMT	https://paversongames.com/cdn/fonts/montserrat/montserrat_i7.83866c3eec90071fa974c17980ffb42977f9e667.woff2?h1=cGF2ZXJzb25nYW1lcy5hY2NvdW50Lm15c2hvcGlmeS5jb20&h2=cGF2ZXJzb25nYW1lcy5jb20&hmac=3a40b768779778c2ac2aa1f9486d235e53eaccb9ea6e1fa71453c0f2c9d81200	F:/MLNWEB/BroadGame/paversongames.com/cdn/fonts/montserrat/montserrat_i7.83866c3eec90071fa974c17980ffb42977f9e667ad5c.woff2	(from https://paversongames.com/)
14:44:42	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Nov%202024%2007:44:40%20GMT	http://paversongames.com/cdn/fonts/crimson_text/crimsontext_n6.c47e03b3d993a969c0bc9ab0875ede980db72d48.woff2?h1=cGF2ZXJzb25nYW1lcy5hY2NvdW50Lm15c2hvcGlmeS5jb20&h2=cGF2ZXJzb25nYW1lcy5jb20&hmac=62041778c44d9343d248b9c2f7e64ef64a263a2fd2abe4d3f4a87b5c5d98bdf0	F:/MLNWEB/BroadGame/paversongames.com/cdn/fonts/crimson_text/crimsontext_n6.c47e03b3d993a969c0bc9ab0875ede980db72d48c137.woff2	(from https://paversongames.com/)
14:44:42	17552/17552	---M--	200	added ('OK')	font/woff2	date:Sat,%2005%20Oct%202024%2016:19:08%20GMT	https://paversongames.com/cdn/fonts/crimson_text/crimsontext_n4.b27fe5dd7d0f6abe43305743449a9d7cb1ed9e69.woff2?h1=cGF2ZXJzb25nYW1lcy5hY2NvdW50Lm15c2hvcGlmeS5jb20&h2=cGF2ZXJzb25nYW1lcy5jb20&hmac=64786b31cd1e13fc375f249941d46735d61d56f39587b52ae5f48ccb9dccaad3	F:/MLNWEB/BroadGame/paversongames.com/cdn/fonts/crimson_text/crimsontext_n4.b27fe5dd7d0f6abe43305743449a9d7cb1ed9e6958e4.woff2	(from https://paversongames.com/)
